Ключ;Название;Приоритет;Статус;Обновлено;Создано;Описание;Метки
CRFLOMNII-2651;Добавление топиков - кафка на ИФТ;Высокий;Выполнено;06.11.2025;06.11.2025;"<p>Добрый день!</p>
<p>&nbsp;</p>
<p>Добавьте пожалуйста топики к CN на ИФТ(2199).&nbsp;</p>
<p>&nbsp;</p>
<p>CN:</p>
<p>APD67.84-2702-kafka-if-client-2199</p>
<p>APD0139-2199-kafka-if-client-ppcf</p>
<p>&nbsp;</p>
<p>Топики:</p>
<p>migrator_rspu_in, migrator_rspu_out (С правами на запись и на чтение).</p>
<p>&nbsp;</p>
<p>ifppcf-kfc002lk.test.vtb.ru:9092, ifppcf-kfc003lk.test.vtb.ru:9092, ifppcf-kfc004lk.test.vtb.ru:9092</p>";devops_support,devops_cloud_настройка
CRFLOMNIA-2713;Прописать CN;Средний;Выполнено;06.11.2025;05.11.2025;"<p>ИС: 1830</p>
<p>Контур: ИФТ</p>
<p>Топики:</p>
<p>Имя топика: pub.CRPR.holiday-status.v1<br />Права доступа: READ</p>
<p>CN=3711_kafka-if-client-sopo</p>
<p>&nbsp;</p>
<p>Прописать CN.</p>
<ol>
<li>&nbsp;</li>
</ol>
<p>&nbsp;</p>";devops_support,devops_cloud_настройка
CRFLOMNIH-5268;2199 Создание пользователя и бакета в объектном хранилище inno.local;Высокий;Выполнено;06.11.2025;05.11.2025;"<p>Требуется создать в объектном хранилище inno.local:</p>
<p>-Пользователя dev-ppcf-rtll-out&nbsp;</p>
<p>-Бакет d7-dtpl-cre-2199&nbsp;</p>
<p>-Выдать новому пользователю CRUD права на новый бакет</p>
<p>-Отправить ключи доступа на DNOleynik@inno.tech</p>
<p>&nbsp;</p>
<p>Ссылка на хранилище: &nbsp;https://console.privatecloud.inno.tech/object_storage/orders/9cd9723f-556f-401e-ace9-1f050f170968/users?context=proj-bnnsr9d1wda1vo5&amp;type=project&amp;org=org-g4bcqzi7</p>";devops_консультация,devops_support
CRFLOMNIG-2408;Не выполняется откат liquibase при откате сервиса на средах ИФТ, ПСИ и ПРОД;Высокий;Выполнено;05.11.2025;05.11.2025;"<p>В микросервисе acrp-osrf-integration не выполняется откат liquibase при откате микросервиса. БД не измняется.</p>
<p>Откат выполняется при помощи джобы HelmRollback</p>
<p>Откат при этом описан в скриптах liquibase.</p>
<p>&nbsp;</p>
<p>Контактное лицо: Беленок Александр Сергеевич</p>";devops_support,devops_консультация
CRFLOMNIF-1317;Консультация по структуре и работе inventory;Высокий;Выполнено;05.11.2025;05.11.2025;"<p>Добрый день<br />inventory -&gt; helmfile -&gt; modules -&gt; casf-cession-deal -&gt; default -&gt; tpl -&gt; liquibase.yaml<br />inventory -&gt; helmfile -&gt; modules -&gt; casf-cession-deal -&gt; k3-c -&gt; tpl-values -&gt; liquibase.yaml<br />При различии в содержимом файле liquibase.yaml, будет ли для контура k3-c целиком использоваться файл из соответствующей директории и values, указанные в нем?<br />Пример во вложении.<br />Цель для разных контуров использовать разную конфигурацию</p>";devops_support,devops_консультация
CRFLOMNIR-918;Добавление ролей для топиков кафки ифт;Критический;Выполнено;06.11.2025;01.11.2025;"<p>Добрый день!<br />Нужно создать топик и добавить роли чтение и запись на топик:<br /><br />k3(ифт) ifppcf-kfc002lk.test.vtb.ru:9092,ifppcf-kfc003lk.test.vtb.ru:9092,ifppcf-kfc004lk.test.vtb.ru:9092<br />CN: APD0139-2199-kafka-if-client-ppcf<br /><br />pub.ppcf.tssh.transfer-exceeding.v1</p>
<p>&nbsp;</p>
<p>И выдать права. Т.к. в логах сейчас на него: Not authorizet to access topics: [pub.ppcf.tssh.transfer-exсeeding.v1]</p>
<p><br />Нужны для нового фонового процесса ppcf-background-process-transfer-exceeding</p>";devops_support
CRFLOMNIR-917;Добавление ролей для топиков кафки ифт;Критический;Выполнено;01.11.2025;01.11.2025;<p>Добрый день!<br />Нужно создать топики и добавить роли чтение и запись на топики следующие:<br /><br />k3(ифт) ifppcf-kfc002lk.test.vtb.ru:9092,ifppcf-kfc003lk.test.vtb.ru:9092,ifppcf-kfc004lk.test.vtb.ru:9092<br />CN: APD0139-2199-kafka-if-client-ppcf<br /><br />int.ppcf.transfer-exceeding-execution.v1-dlt<br />int.ppcf.transfer-exceeding-execution.v1<br />pub.ppcf.tssh.transfer-exceeding.v1<br />int.ppcf.transfer-exceeding-execution.v1-retry-0<br />int.ppcf.transfer-exceeding-execution.v1-retry-1<br /><br />Нужны для нового фонового процесса ppcf-background-process-transfer-exceeding</p>;devops_support
CRFLOMNIR-916;Добавление прав к УЗ для выполнения джобы в cdl;Критический;Выполнено;01.11.2025;01.11.2025;"<p>логин: VTB4117032@region.vtb.ru<br />контур: ифт (cdl)<br />Прошу выдать права для выполнения джобы seed-job в cdl - в 4 оркестрации(ppcf)&nbsp;<br />Джоба падает с ошибкой - VTB4117032@region.vtb.ru is missing the Job/Configure permission<br />Нужно - для добавления нового сервиса (ppcf-background-process-transfer-exceeding) т.к. джоба deploy не видит этот сервис<br />Поставка релиза RL-T1-123530</p>";devops_support,devops_инструменты
CRFLOMNIM-1912;Выдача доступов на топик в системе 2197 для системы 1491_14;Высокий;Выполнено;31.10.2025;31.10.2025;"<p>Необходимо выдать доступ на <strong>чтение и запись</strong> в топик Kafka'и <strong>2197</strong> на <strong>ИФТ</strong>:<br />- pub.acrp.deviation.status.v1<br /><br />Для системы 1491_14, CN клиенсткого сертификата, с которым будет осуществляться подключение: <br /><strong>APD74.21.11-1491-kafka-if-client-mlsrv&nbsp;</strong></p>";devops_support,devops_cloud_настройка
CRFLOMNIN-2307;ошибка при затягивании инвентори RL-T1-121730 на ИФТ;Критический;Выполнено;31.10.2025;31.10.2025;"<p>[2025-10-31 15:23:33.330] Начинаем автоматическое слияние веток 02[2025-10-31 15:23:33.663] Клонирование репозитория: ssh://git@git.sfera.test.vtb.ru:7999/casf_deploy/devops_msa_deploy_inventory.git, ветка: delivery/releaseCI/master, checkoutDir: /app/jenkins-agent/workspace/CASF/CDL/DELIVERY/RepoCI/devops_msa_deploy_inventory 03[2025-10-31 15:23:33.900] The recommended git tool is: NONE 04[2025-10-31 15:23:34.048] using credential ta_cdl_ssh 05[2025-10-31 15:23:34.096] Cloning the remote Git repository 06[2025-10-31 15:23:34.880] Avoid second fetch 07[2025-10-31 15:23:34.101] &gt; JGit fetch # timeout=10 08[2025-10-31 15:23:34.366] remote: Enumerating objects 09[2025-10-31 15:23:34.367] remote: Counting objects 10[2025-10-31 15:23:34.390] remote: Compressing objects 11[2025-10-31 15:23:34.447] Receiving objects 12[2025-10-31 15:23:34.599] Resolving deltas 13[2025-10-31 15:23:34.930] Checking out Revision 23f81a319754baa0b887009898214b1739e7bf40 (refs/remotes/origin/delivery/releaseCI/master) 14[2025-10-31 15:23:35.260] Commit message: ""feat: automerge delivery/releaseCI/master 141704"" 15[2025-10-31 15:23:35.408] [SferaSCMListener] Remote repository: ssh://git@git.sfera.test.vtb.ru:7999/casf_deploy/devops_msa_deploy_inventory.git 16[2025-10-31 15:23:35.677] ? Загружен репозиторий ssh://git@git.sfera.test.vtb.ru:7999/casf_deploy/devops_msa_deploy_inventory.git по состоянию 'delivery/releaseCI/master' в директорию /app/jenkins-agent/workspace/CASF/CDL/DELIVERY/RepoCI/devops_msa_deploy_inventory 17[2025-10-31 15:23:36.535] + git diff origin/delivery/releaseCI/master origin/delivery/releaseCDL/master 18[2025-10-31 15:23:36.536] + wc -c 19[2025-10-31 15:23:39.131] + git ls-remote origin delivery/releaseCDL/master 20[2025-10-31 15:23:39.952] ? Отсутствует diff между ветками delivery/releaseCI/master delivery/releaseCDL/master 21[2025-10-31 15:23:40.800] + git diff origin/delivery/releaseCI/release/RL-T1-121730 origin/delivery/releaseCDL/release/RL-T1-121730 22[2025-10-31 15:23:40.800] + wc -c 23[2025-10-31 15:23:42.928] + git ls-remote origin delivery/releaseCDL/release/RL-T1-121730 24[2025-10-31 15:23:43.764] ? Существует diff между ветками delivery/releaseCI/release/RL-T1-121730 delivery/releaseCDL/release/RL-T1-121730 25[2025-10-31 15:23:44.919] + set +x 26[2025-10-31 15:23:45.803] + rm -rf data.json 27[2025-10-31 15:23:46.044] ? Токен получен в переменную secretToken 28[2025-10-31 15:23:46.943] + set +x 29[2025-10-31 15:24:57.511] parse error: Invalid numeric literal at line 1, column 7 30[2025-10-31 15:24:58.432] + rm -rf data.json 31[2025-10-31 15:24:59.271] + rm -rf data.json 32[2025-10-31 15:24:59.507] Переменная secretToken очищена 33[2025-10-31 15:24:59.930] ? Ошибка при автоматическом слиянии веток: script returned exit code 4&nbsp;</p>";devops_консультация,devops_support,devops_инструменты
CRFLOMNIN-2306;не обновляется ветка инвентори на ифт;Критический;Выполнено;31.10.2025;31.10.2025;<p>не обновляется ветка RL-T1-121730 инвентори на ифт. Лог во вложении</p>;devops_консультация,devops_support,devops_инструменты
STRCRED-15698;Проблема с master инвентори 1830 CRPR на CDL. ;Критический;Выполнено;31.10.2025;31.10.2025;<p>master не обновляется. На CI от 30.10.2025. На CDL от 28.10.2025.<br />в дефолтный мастер на CDL не вливается мастер из CI. <br />Возможно конфликт слияния, подскажите, пож-та, как решить.<br /><br />https://sfera.inno.local/tasks/task/STRCRED-15697 (второй пункт).</p>;devops_support,devops_консультация
CRFLOMNID4-848;Джобы по переносу в CDL DELIVERY падают с ошибками;Средний;Выполнено;31.10.2025;31.10.2025;"<p>В АРМ регион, при запуске джобов по переносу в&nbsp; sfera.test.vtb.ru&nbsp; ""Орекстрация CDL""&nbsp; Оркестрация2&nbsp; &nbsp;, Проект ACRP ,&nbsp; CDL-DELIVERY, они падают с ошибкой.</p>";devops_support,devops_инфраструктура,devops_консультация
CRFLOMNIF-1312;Доработка джобы runLiquibase;Высокий;Выполнено;31.10.2025;31.10.2025;"<p>Добрый день.<br />В ИС2198 используется репликация БД. DDL реплицироваться не умеет.</p>
<p>Необходимо реализовать доработку, которая позволит прогоняться джобе liquibase на две БД.<br />В инвентори добавятся хост, креды второй БД (реплики), джоба должна смотреть на наличие и заполненность этих полей, при наличии - проливать скрипты миграций и на основную БД, и на вторую БД.<br />Для оперативной связи пишите в команду или тг iskrypnik&nbsp;<br />&nbsp;</p>";devops_support,devops_консультация
STRCRED-15697;Проблема с перекладкой инвентори на 1830 CRPR с CI на CDL;Критический;Выполнено;31.10.2025;31.10.2025;"<p>1. delivery/releaseCI/release/RL-T1-120041-preprod -&gt; delivery/releaseCDL/release/RL-T1-120041-preprod<br />2. master тоже не обновляется. На CI от 30.10.2025. На CDL от 28.10.2025.</p>";devops_support,devops_консультация
CRFLOMNIG-2395;Добавить CN в ACL для топика на брокере CRPR;Средний;Выполнено;31.10.2025;31.10.2025;"<p>Брокер: ifcrpr-kfc001lk.test.vtb.ru:9092</p>
<p>Топик: int.crpr.cod-event.rq.v1 - чтение из топика</p>
<p>Топик: int.crpr.cod-event.rs.v1 - пишем в топик</p>
<p>CN: APD0081.0001.0048-1830-kafka-if-client-crpr-cc</p>
<p>&nbsp;</p>
<p>Если я могу сам прописать ACL, то прошу дать ссылку</p>";devops_support,devops_консультация,devops_cloud_настройка
CRFLOMNIN-2303;Ошибка при стейдженги на uat ликви скриптов casf-orchestrator в 2198;Критический;Выполнено;31.10.2025;31.10.2025;"<p>[2025-10-30 10:02:19.782] &nbsp;2025-10-30 10:02:19,496:ERROR:URL 'https://sfera.test.vtb.ru/app/sourcecode/api/api/v2/projects/casf_deploy/repos/delivery_history/file/delivery.json?ref=ver-d292214f02cd35e4815c8d1fd4fb3953' unaccessible, status_code: &lt;Response [404]&gt;</p>";devops_консультация,devops_support
CRFLOMNIR-914;КОПИЯ Доступ к namespace  кубера Т1 cloud ИФТ;Критический;Выполнено;30.10.2025;30.10.2025;"<p>ИС - 2199 (ppcf)</p>
<p>Логин - nglazov</p>
<p>k8s - https://console.apps.ik5-kube01.test.vtb.ru ИФТ</p>
<p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; https://console.apps.ik7-kube04.test.vtb.ru ИФТ</p>
<p>все namespace</p>
<p><span style=""background-color: inherit;"">Роли - админимстратор, девелопер</span></p>";devops_support,devops_cloud_доступ
CRFLOMNIR-913;Доступ к namespace  кубера Т1 cloud ИФТ;Критический;Выполнено;30.10.2025;30.10.2025;"<p>ИС - 2199 (ppcf)</p>
<p>Логин - nglazov</p>
<p>k8s - https://console.apps.ik5-kube01.test.vtb.ru ИФТ</p>
<p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; https://console.apps.ik7-kube04.test.vtb.ru ИФТ</p>
<p>все namespace</p>
<p><span style=""background-color: inherit;"">Роли - админимстратор, девелопер</span></p>";devops_support,devops_cloud_доступ
CRFLOMNIJ-2288;Не открывается swagger сервисов lc/escrow на Препрод;Критический;Выполнено;30.10.2025;30.10.2025;"<p>Добрый день!</p>
<p>Не можем найти рабочую ссылку для сваггера lc/escrow на препрод (ПСИ). Существует ли такая? Ссылка на сваггер бфф работает</p>";devops_support,devops_консультация
CRFLOMNIH-5210;2200 Деплой ppea-escrow на k3-s2 не удается;Средний;Закрыто;30.10.2025;30.10.2025;"<p>Пайплайн деплоя ppea-escrow на k3-s2 был прерван и повторен с актуальными параметрами. Теперь не удается задеплоить как буд-то застряли между фазами</p>
<p>&nbsp;</p>
<p>Последняя попытка деплоя с актуальными параметрами</p>
<p>https://sfera.test.vtb.ru/orchestration2/dashboard/PPEA/project/57063577-83c3-424e-979d-c03a820d8354/builds/4607902</p>";devops_консультация,devops_support
CRFLOMNIK-2479;BuldTestScan падает для пп ;Критический;Закрыто;01.11.2025;31.10.2025;"<p>Добрый день!&nbsp;</p>
<p>Джоба BuildTestScan для прод. процессора висит по 50 минут и потом падали на PipleneCi вчера и сегодня такое наблюдаю, локально все корректно собирается.</p>
<p>Примеры:</p>
<p>https://sfera.inno.local/orchestration7/dashboard/PPCF/project/ff41f4c2-f57b-497d-9353-effc3f415255/builds/1208249</p>
<p>https://sfera.inno.local/orchestration7/dashboard/PPCF/project/ff41f4c2-f57b-497d-9353-effc3f415255/builds/1207056</p>
<p>https://sfera.inno.local/orchestration7/dashboard/PPCF/project/ff41f4c2-f57b-497d-9353-effc3f415255/builds/1207056</p>";devops_support,devops_инструменты
CRFLOMNIA-2694;ВАЖНО!  не работает установка релиза K3;Критический;Выполнено;30.10.2025;30.10.2025;"<p>Ошибка при запуске джобы деплоя&nbsp; релиза на стенд K3 (IFT)<br /><br />https://sfera.test.vtb.ru/orchestration4/dashboard/PPCF/project/01807613-4011-4b47-ab1b-d3a82a8ca8f8/builds/1812213</p>";devops_support
CRFLOMNIJ-2286;Увеличение лимитов acrp-app-core-ui;Критический;Выполнено;30.10.2025;30.10.2025;"<p>Добрый день!</p>
<p>Не можем найти настройки для увеличения лимитов и requests в инвентори acrp-app-core-ui, подскажите с этой настройкой, пжлста</p>";devops_support,devops_консультация
CRFLOMNID3-812;Доступ в k8s 2197;Средний;Закрыто;01.11.2025;29.10.2025;"<p>Прошу дать роль ""Администратор кластера"" ИС 2197 на ИФТ.&nbsp;</p>
<p>УЗ vtb4055950<br />Также доступ к логам в Кибане (по аналогии с 1830 для данной УЗ)</p>";devops_support,devops_cloud_доступ
CRFLOMNIU-1318;Некорректная работа Quality Gate.;Высокий;Закрыто;01.11.2025;01.11.2025;"<p>Результат проверки Quality Gate: http://10.147.99.5:8080/component_measures?metric=coverage&amp;view=list&amp;branch=feature%2FCRFLOMNIU-1275&amp;id=PPCF%3Appcf-migr-processor-rncb</p>
<p>&nbsp;</p>
<p>Отчёт показывает нулевое покрытие кода тестами, но тесты в проекте присутствуют.</p>
<p>Отчёт о покрытии тестами из IntelliJ IDEA во вложении Покрытие.PNG для сравнения.</p>
<p>&nbsp;</p>
<p>Просьба исправить работу Quality Gate.</p>
<p>&nbsp;</p>";devops_support
CRFLOMNIU-1317;Где можно посмотреть отчёт qualityGateSONAR?;Высокий;Закрыто;31.10.2025;31.10.2025;"<p>Запрос на слияние не прошел проверку QualityGates.</p>
<p>В логах (https://sfera.inno.local/orchestration7/dashboard/PPCF/project/ff41f4c2-f57b-497d-9353-effc3f415255/builds/1209239?stageId=117) вижу ссылку на подробный отчёт:</p>
<p>&gt; [2025-10-31 12:47:20.577] ERROR: QUALITY GATE STATUS: FAILED - View details on http://10.147.99.5:8080/dashboard?id=PPCF%3Appcf-migr-processor-rncb&amp;branch=feature%2FCRFLOMNIU-1275</p>
<p>&nbsp;</p>
<p>При попытке зайти на http://10.147.99.5:8080 получаю ошибку ""Превышено время ожидания ответа от сайта 10.147.99.5. ERR_CONNECTION_TIMED_OUT""</p>
<p>&nbsp;</p>
<p>Где можно посмотреть подробный отчёт об ошибках?</p>
<p>&nbsp;</p>";devops_support,devops_консультация
CRFLOMNIU-1316;Требуется перезапуск джобы QualityGates.;Высокий;Закрыто;31.10.2025;30.10.2025;"<p>Требуется повторный запуск QualityGates в запросе на слияние (https://sfera.inno.local/sourcecode/projects/PPCF/repos/ppcf-migr-processor-rncb/pulls/1591187).</p>
<p>Ссылка JOB_URL из комментария бота выдаёт 404 ошибку.</p>";devops_support,devops_консультация
CRFLOMNIL-2544;Версия сборки BuildRelease;Средний;Выполнено;30.10.2025;29.10.2025;"<p>Добрый день.&nbsp;</p>
<p>Подскажите, пожалуйста, корректна ли данная ситуация. Выполнялось две сборки для разных релизов, и получили огромный разыв между версиями. Приложила скрин.&nbsp;<br />Оба релиза перенесли на контур ИФТ.</p>";devops_support,devops_консультация,devops_инструменты
